concept id	representation id	en
FMA18886	BP10318	left external iliac vein
FMA18887	BP10327	right internal iliac vein
FMA18888	BP10309	left internal iliac vein
FMA18889	BP10253	tributary of internal iliac vein
FMA18902	BP10344	iliolumbar vein
FMA18903	BP10351	right iliolumbar vein
FMA18904	BP10343	left iliolumbar vein
FMA18905	BP10279	lateral sacral vein
FMA18906	BP10278	right lateral sacral vein
FMA18907	BP10349	left lateral sacral vein
FMA18908	BP10305	superior gluteal vein
FMA18909	BP10304	right superior gluteal vein
FMA18910	BP10357	left superior gluteal vein
FMA18911	BP10277	inferior gluteal vein
FMA18912	BP10276	right inferior gluteal vein
FMA18913	BP10359	left inferior gluteal vein
FMA18914	BP10255	obturator vein
FMA18915	BP10254	right obturator vein
FMA18916	BP10362	left obturator vein
FMA18917	BP10252	internal pudendal vein
FMA18918	BP10365	right internal pudendal vein
FMA18919	BP10251	left internal pudendal vein
FMA19082	BP8132	piriformis
FMA19083	BP7988	obturator muscle
FMA19086	BP8117	muscle of pelvis
FMA19088	BP8116	coccygeus
FMA19089	BP7793	zone of levator ani
FMA19090	BP7792	pubococcygeus
FMA19091	BP8203	puborectalis
FMA19092	BP8008	iliococcygeus
FMA19234	BP8797	deferent duct
FMA19235	BP9116	right deferent duct
FMA19236	BP8796	left deferent duct
FMA19386	BP8531	seminal vesicle
FMA19387	BP8530	right seminal vesicle
FMA19388	BP9064	left seminal vesicle
FMA19617	BP8470	corpus spongiosum of penis
FMA19618	BP9224	corpus cavernosum of penis
FMA19667	BP9098	urethra
FMA19728	BP8935	superficial perineal muscle
FMA19754	BP9012	region of peritoneum
FMA19783	BP5487	loose connective tissue
FMA19795	BP10300	dorsal artery of penis
FMA20107	BP5486	irregular connective tissue
FMA20111	BP5488	mucoid tissue
FMA20194	BP8471	cavernous organ
FMA20221	BP8795	zone of cavernous organ
FMA20247	BP8794	zone of corpus spongiosum of penis
FMA20278	BP8156	muscle of anterior abdominal wall
FMA20289	BP5761	lacrimal sac
FMA20570	BP9010	peritoneal mesentery
FMA20593	BP9011	region of visceral peritoneum
FMA20684	BP6431	trunk of branch of external iliac artery
FMA20686	BP10341	inferior epigastric artery
FMA20688	BP10340	right inferior epigastric artery
FMA20689	BP10368	left inferior epigastric artery
FMA20734	BP10262	superficial epigastric artery
FMA20735	BP10307	right superficial epigastric artery
FMA20736	BP10261	left superficial epigastric artery
FMA20798	BP6034	lateral circumflex femoral artery
FMA20801	BP6035	right lateral circumflex femoral artery
FMA20802	BP6036	left lateral circumflex femoral artery
FMA20803	BP6040	branch of lateral circumflex femoral artery
FMA20805	BP6041	descending branch of lateral circumflex femoral artery
FMA20818	BP10299	right dorsal artery of penis
FMA20819	BP10315	left dorsal artery of penis
FMA21162	BP10272	inferior epigastric vein
FMA21163	BP10271	right inferior epigastric vein
FMA21164	BP10283	left inferior epigastric vein
FMA21185	BP5878	femoral vein
FMA21188	BP5879	right femoral vein
FMA21189	BP5880	left femoral vein
FMA21240	BP5793	tributary of internal pudendal vein
FMA21354	BP5794	deep dorsal vein of penis
FMA21376	BP5869	great saphenous vein
FMA21378	BP10597	tributary of great saphenous vein
FMA21379	BP5870	right great saphenous vein
FMA21380	BP5871	left great saphenous vein
FMA21383	BP10596	tributary of superficial external pudendal vein
FMA21384	BP10595	superficial dorsal vein of penis
FMA21385	BP10630	right superficial dorsal vein of penis
FMA21386	BP10594	left superficial dorsal vein of penis
FMA21387	BP10313	right common iliac vein
FMA21388	BP10352	left common iliac vein
FMA21422	BP6042	descending branch of right lateral circumflex femoral artery
FMA21423	BP6043	descending branch of left lateral circumflex femoral artery
FMA21496	BP8168	ligament organ
FMA21520	BP10285	branch of inferior branch of ileocolic artery
FMA21521	BP10332	trunk of branch of left colic artery
FMA21930	BP8934	external anal sphincter
FMA22298	BP7987	obturator internus
FMA22299	BP8507	obturator externus
FMA22310	BP8313	iliacus
FMA22314	BP8402	gluteus maximus
FMA22315	BP9214	gluteus medius
FMA22317	BP8624	gluteus minimus
FMA22318	BP8029	gemellus superior
FMA22319	BP8030	gemellus
FMA22320	BP8455	gemellus inferior
FMA22321	BP8662	quadratus femoris
FMA22322	BP5085	right iliacus
FMA22323	BP8312	left iliacus
FMA22324	BP5079	right obturator internus
FMA22325	BP7986	left obturator internus
FMA22326	BP5081	right obturator externus
FMA22327	BP8506	left obturator externus
FMA22328	BP5065	right gluteus maximus
FMA22329	BP8401	left gluteus maximus
FMA22330	BP5063	right gluteus medius
FMA22331	BP9213	left gluteus medius
FMA22332	BP5083	right gluteus minimus
FMA22333	BP8623	left gluteus minimus
FMA22334	BP5068	right gemellus superior
FMA22335	BP8028	left gemellus superior
FMA22336	BP5070	right gemellus inferior
FMA22337	BP8454	left gemellus inferior
FMA22338	BP5074	right quadratus femoris
FMA22339	BP8661	left quadratus femoris
FMA22340	BP5076	right piriformis
FMA22341	BP8131	left piriformis
FMA22342	BP4701	right psoas major
FMA22343	BP8373	left psoas major
FMA22353	BP8877	sartorius
FMA22354	BP4994	right sartorius
FMA22355	BP8876	left sartorius
FMA22357	BP9067	semitendinosus
FMA22358	BP4991	right semitendinosus
FMA22359	BP9066	left semitendinosus
FMA22423	BP9185	tensor fasciae latae
FMA22424	BP8878	muscle of anterior compartment of thigh
FMA22425	BP5072	right tensor fasciae latae
FMA22426	BP9184	left tensor fasciae latae
FMA22427	BP7831	muscle of posterior compartment of thigh
FMA22429	BP8096	zone of quadriceps femoris
FMA22430	BP8095	rectus femoris
FMA22431	BP8755	vastus lateralis
FMA22432	BP9129	vastus medialis
FMA22433	BP9208	vastus intermedius
FMA22438	BP7830	semimembranosus
FMA22439	BP8606	muscle of medial compartment of thigh
FMA22440	BP8999	pectineus
FMA22441	BP8605	adductor longus
FMA22442	BP9100	adductor brevis
FMA22443	BP8973	adductor magnus
FMA22448	BP4989	right semimembranosus
FMA22449	BP7829	left semimembranosus
FMA22450	BP4978	right pectineus
FMA22451	BP8998	left pectineus
FMA22452	BP4986	right adductor brevis
FMA22454	BP9099	left adductor brevis
FMA22456	BP4984	right adductor longus
FMA22457	BP8604	left adductor longus
FMA22459	BP4982	right adductor magnus
FMA22460	BP8972	left adductor magnus
FMA22470	BP7832	muscle of thigh
FMA22471	BP7861	muscle of leg
FMA22472	BP7860	muscle of anterior compartment of leg
FMA22473	BP8848	muscle of lateral compartment of leg
FMA22474	BP7952	muscle of posterior compartment of leg
FMA22506	BP6037	descending genicular artery
FMA22507	BP6038	right descending genicular artery
FMA22508	BP6039	left descending genicular artery
FMA22532	BP8721	tibialis anterior
FMA22533	BP7859	extensor hallucis longus
FMA22534	BP8163	extensor digitorum longus
FMA22535	BP6150	superior genicular artery
FMA22536	BP6083	middle genicular artery
FMA22537	BP6143	inferior genicular artery
FMA22538	BP9229	fibularis tertius
FMA22539	BP8847	fibularis longus
FMA22540	BP8978	fibularis brevis
FMA22542	BP8820	soleus
FMA22543	BP8853	plantaris
FMA22544	BP5018	right tibialis anterior
FMA22545	BP8720	left tibialis anterior
FMA22546	BP5022	right extensor hallucis longus
FMA22547	BP7858	left extensor hallucis longus
FMA22548	BP5024	right extensor digitorum longus
FMA22549	BP8162	left extensor digitorum longus
FMA22550	BP5020	right fibularis tertius
FMA22551	BP9228	left fibularis tertius
FMA22552	BP5013	right fibularis longus
FMA22553	BP8846	left fibularis longus
FMA22554	BP5015	right fibularis brevis
FMA22555	BP8977	left fibularis brevis
FMA22558	BP4999	right soleus
FMA22559	BP8819	left soleus
FMA22560	BP5001	right plantaris
FMA22561	BP8852	left plantaris
FMA22562	BP6084	right middle genicular artery
FMA22563	BP6085	left middle genicular artery
FMA22584	BP6151	superior medial genicular artery
FMA22585	BP6154	superior lateral genicular artery
FMA22586	BP6152	right medial superior genicular artery
FMA22587	BP6153	left medial superior genicular artery
FMA22588	BP6155	right lateral superior genicular artery
FMA22589	BP6156	left lateral superior genicular artery
FMA22590	BP9242	popliteus
FMA22591	BP5006	right popliteus
FMA22592	BP9241	left popliteus
FMA22593	BP7950	flexor hallucis longus
FMA22594	BP8027	muscle of vertebral column
FMA22653	BP8023	splenius capitis
FMA22654	BP6022	axillary artery
FMA22655	BP6023	right axillary artery
FMA22656	BP6024	left axillary artery
FMA22674	BP6286	lateral thoracic artery
FMA22675	BP6288	right lateral thoracic artery
FMA22676	BP6287	left lateral thoracic artery
FMA22677	BP6289	subscapular artery
FMA22678	BP6290	right subscapular artery
FMA22679	BP6291	left subscapular artery
FMA22680	BP6341	anterior circumflex humeral artery
FMA22681	BP8242	splenius cervicis
FMA22682	BP6342	right anterior circumflex humeral artery
FMA22683	BP6343	left anterior circumflex humeral artery
FMA22684	BP6236	posterior circumflex humeral artery
FMA22685	BP6237	right posterior circumflex humeral artery
FMA22687	BP6238	left posterior circumflex humeral artery
FMA22689	BP6019	brachial artery
FMA22691	BP6020	right brachial artery
FMA22692	BP6021	left brachial artery
FMA22693	BP6269	branch of brachial artery
FMA22695	BP6283	deep brachial artery
FMA22696	BP6284	right deep brachial artery
FMA22697	BP6285	left deep brachial artery
FMA22702	BP8938	iliocostalis lumborum
FMA22703	BP8749	iliocostalis thoracis
FMA22704	BP8049	iliocostalis cervicis
FMA22706	BP6277	superior ulnar collateral artery
FMA22707	BP6278	right superior ulnar collateral artery
FMA22708	BP6279	left superior ulnar collateral artery
FMA22709	BP8986	longissimus thoracis
FMA22710	BP6280	inferior ulnar collateral artery
FMA22711	BP9127	longissimus cervicis
FMA22712	BP6282	right inferior ulnar collateral artery
FMA22713	BP6281	left inferior ulnar collateral artery
FMA22714	BP9082	longissimus capitis
FMA22726	BP4760	right splenius cervicis
FMA22727	BP8241	left splenius cervicis
FMA22728	BP4758	right splenius capitis
FMA22729	BP8022	left splenius capitis
FMA22730	BP6334	radial artery
FMA22733	BP6335	right radial artery
FMA22734	BP6336	left radial artery
FMA22738	BP6223	branch of radial artery
FMA22740	BP4753	right iliocostalis lumborum
FMA22741	BP8937	left iliocostalis lumborum
FMA22742	BP4751	right iliocostalis thoracis
FMA22743	BP8748	left iliocostalis thoracis
FMA22744	BP4755	right iliocostalis cervicis
FMA22745	BP8048	left iliocostalis cervicis
FMA22748	BP6224	radial recurrent artery
FMA22751	BP4744	right longissimus thoracis
FMA22753	BP8985	left longissimus thoracis
FMA22754	BP4748	right longissimus capitis
FMA22755	BP6227	dorsal carpal branch of radial artery
FMA22756	BP9081	left longissimus capitis
FMA22757	BP4746	right longissimus cervicis
FMA22758	BP9126	left longissimus cervicis
FMA22762	BP6233	arteria princeps pollicis
FMA22763	BP6230	arteria radialis indicis
FMA22764	BP6225	right radial recurrent artery
FMA22765	BP8980	spinalis thoracis
FMA22766	BP6226	left radial recurrent artery
FMA22772	BP6228	dorsal carpal branch of right radial artery
FMA22773	BP6229	dorsal carpal branch of left radial artery
FMA22777	BP6231	right arteria radialis indicis
FMA22778	BP6232	left arteria radialis indicis
FMA22779	BP4763	right spinalis thoracis
FMA22780	BP8979	left spinalis thoracis
FMA22796	BP6314	ulnar artery
FMA22797	BP6315	right ulnar artery
FMA22798	BP6316	left ulnar artery
FMA22799	BP6292	branch of ulnar artery
FMA22800	BP6304	anterior ulnar recurrent artery
FMA22801	BP6305	right anterior ulnar recurrent artery
FMA22802	BP6306	left anterior ulnar recurrent artery
FMA22803	BP6301	posterior ulnar recurrent artery
FMA22804	BP6303	right posterior ulnar recurrent artery
FMA22805	BP6302	left posterior ulnar recurrent artery
FMA22806	BP6310	common interosseous artery
FMA22807	BP6311	right common interosseous artery
FMA22808	BP6312	left common interosseous artery
FMA22809	BP6293	branch of common interosseous artery
FMA22810	BP6297	anterior interosseous artery
FMA22812	BP6298	right anterior interosseous artery
FMA22813	BP6299	left anterior interosseous artery
FMA22820	BP6307	dorsal carpal branch of ulnar artery
FMA22821	BP6308	right dorsal carpal branch of ulnar artery
FMA22822	BP6309	left dorsal carpal branch of ulnar artery
FMA22823	BP8318	semispinalis
FMA22828	BP8317	semispinalis thoracis
FMA22829	BP8931	semispinalis cervicis
FMA22830	BP8701	semispinalis capitis
FMA22834	BP6605	superficial palmar arterial arch
FMA22835	BP6606	right superficial palmar arterial arch
FMA22837	BP6607	left superficial palmar arterial arch
FMA22838	BP6602	deep palmar arterial arch
FMA22839	BP6603	right deep palmar arch
FMA22840	BP6604	left deep palmar arch
FMA22841	BP9139	interspinalis muscle
FMA22842	BP6096	branch of arterial anastomosis
FMA22843	BP6129	branch of deep palmar arterial arch
FMA22845	BP6097	branch of superficial palmar arterial arch
FMA22846	BP9138	interspinalis thoracis
FMA22848	BP8811	intertransversarius muscle
FMA22849	BP8810	lumbar intertransversarius
FMA22850	BP8895	lateral lumbar intertransversarius
FMA22851	BP8809	medial lumbar intertransversarius
FMA22854	BP6098	first common palmar digital artery
FMA22855	BP6108	second common palmar digital artery
FMA22856	BP6099	right first common palmar digital artery
FMA22857	BP6105	lateral proper palmar digital artery of middle finger
FMA22858	BP6106	lateral proper palmar digital artery of right middle finger
FMA22860	BP6107	lateral proper palmar digital artery of left middle finger
FMA22863	BP6130	palmar metacarpal artery
FMA22864	BP6131	right palmar metacarpal artery
FMA22865	BP6132	left palmar metacarpal artery
FMA22872	BP4713	right semispinalis thoracis
FMA22873	BP8316	left semispinalis thoracis
FMA22874	BP4715	right semispinalis cervicis
FMA22875	BP8930	left semispinalis cervicis
FMA22876	BP4717	right semispinalis capitis
FMA22877	BP8700	left semispinalis capitis
FMA22890	BP4725	right interspinalis thoracis
FMA22891	BP9137	left interspinalis thoracis
FMA22905	BP6234	right arteria princeps pollicis
FMA22907	BP6235	left arteria princeps pollicis
FMA22908	BP5949	basilic vein
FMA22909	BP5950	right basilic vein
FMA22910	BP5951	left basilic vein
FMA22911	BP6612	deep palmar venous arch
FMA22912	BP6613	right deep palmar venous arch
FMA22913	BP6614	left deep palmar venous arch
FMA22914	BP6609	superficial palmar venous arch
FMA22915	BP6610	right superficial palmar venous arch
FMA22916	BP6611	left superficial palmar venous arch
FMA22917	BP5979	tributary of venous anastomosis
FMA22919	BP5923	palmar metacarpal vein
FMA22920	BP5924	right palmar metacarpal vein
FMA22921	BP5925	left palmar metacarpal vein
FMA22922	BP5982	tributary of superficial palmar venous arch
FMA22923	BP5996	common palmar digital vein
FMA22926	BP5983	tributary of common palmar digital vein
FMA22927	BP5993	proper palmar digital vein of index finger
FMA22928	BP5984	proper palmar digital vein of middle finger
FMA22929	BP5987	proper palmar digital vein of ring finger
FMA22930	BP5906	tributary of subclavian vein
FMA22934	BP5945	brachial vein
FMA22935	BP5947	right medial brachial vein
FMA22936	BP5948	left medial brachial vein
FMA22937	BP5918	tributary of brachial vein
FMA22947	BP5926	radial vein
FMA22948	BP5927	right radial vein
FMA22949	BP5928	left radial vein
FMA22950	BP5919	ulnar vein
FMA22951	BP5920	right ulnar vein
FMA22952	BP5921	left ulnar vein
FMA22953	BP5922	tributary of radial vein
FMA22954	BP5981	dorsal metacarpal vein
FMA22963	BP5930	median cubital vein
FMA22964	BP5931	right median cubital vein
FMA22965	BP5932	left median cubital vein
FMA22967	BP5933	median antebrachial vein
FMA22968	BP5934	right median antebrachial vein
FMA22969	BP5935	left median antebrachial vein
FMA23046	BP6118	medial proper palmar digital artery of ring finger
FMA23047	BP6102	medial proper palmar digital artery of index finger
FMA23048	BP6120	lateral proper palmar digital artery of little finger
FMA23050	BP6103	medial proper palmar digital artery of right index finger
FMA23051	BP6104	medial proper palmar digital artery of left index finger
FMA23052	BP6119	medial proper palmar digital artery of right ring finger
FMA23054	BP6121	lateral proper palmar digital artery of right little finger
FMA23055	BP6122	lateral proper palmar digital artery of left little finger
FMA23062	BP6318	pectoral branch of thoraco-acromial artery
FMA23063	BP6319	pectoral branch of right thoraco-acromial artery
FMA23064	BP6320	pectoral branch of left thoraco-acromial artery
FMA23065	BP6324	acromial branch of thoraco-acromial artery
FMA23067	BP6321	deltoid branch of thoraco-acromial artery
FMA23068	BP6325	acromial branch of right thoraco-acromial artery
FMA23069	BP6326	acromial branch of left thoraco-acromial artery
FMA23072	BP6323	deltoid branch of right thoraco-acromial artery
FMA23073	BP6322	deltoid branch of left thoraco-acromial artery
FMA23081	BP8399	rotator muscle
FMA23082	BP9112	cervical rotator
FMA23083	BP8398	thoracic rotator
FMA23084	BP8693	lumbar rotator
FMA23089	BP4729	right lumbar rotator
FMA23090	BP8692	left lumbar rotator
FMA23113	BP5912	subscapular vein
FMA23114	BP5913	right subscapular vein
FMA23115	BP5914	left subscapular vein
FMA23117	BP6270	branch of deep brachial artery
FMA23119	BP6274	medial collateral artery
FMA23120	BP6271	radial collateral artery
FMA23124	BP6276	middle collateral branch of right deep brachial artery
FMA23125	BP6275	middle collateral branch of left deep brachial artery
FMA23126	BP6272	radial collateral branch of right deep brachial artery
FMA23127	BP6273	radial collateral branch of left deep brachial artery
FMA23130	BP9206	right humerus
FMA23131	BP9191	left humerus
FMA23179	BP6243	circumflex scapular artery
FMA23180	BP6244	right circumflex scapular artery
FMA23181	BP6245	left circumflex scapular artery
FMA23463	BP8465	radius
FMA23464	BP8464	right radius
FMA23465	BP9059	left radius
FMA23466	BP8234	ulna
FMA23467	BP8233	right ulna
FMA23468	BP9070	left ulna
FMA23706	BP8264	interosseous membrane of forearm
FMA23707	BP4651	interosseous membrane of right forearm
FMA23708	BP8263	interosseous membrane of left forearm
FMA23709	BP8123	scaphoid
FMA23712	BP8494	lunate
FMA23715	BP8308	triquetral
FMA23718	BP8771	pisiform
FMA23721	BP8567	trapezium
FMA23724	BP7881	trapezoid
FMA23725	BP7880	right trapezoid
FMA23727	BP7960	capitate
FMA23730	BP8884	hamate
FMA23889	BP7883	carpal bone
FMA23899	BP8548	first metacarpal bone
FMA23900	BP8220	second metacarpal bone
FMA23901	BP8630	third metacarpal bone
FMA23902	BP8445	fourth metacarpal bone
FMA23903	BP8001	fifth metacarpal bone
FMA23914	BP7900	phalanx of finger
FMA23918	BP7898	proximal phalanx of thumb
FMA23919	BP8329	proximal phalanx of index finger
FMA23920	BP8865	proximal phalanx of middle finger
FMA23921	BP7937	proximal phalanx of ring finger
FMA23922	BP8101	proximal phalanx of little finger
FMA23933	BP8524	middle phalanx of index finger
FMA23934	BP8457	middle phalanx of middle finger
FMA23935	BP8452	middle phalanx of ring finger
FMA23936	BP8492	middle phalanx of little finger
FMA23938	BP9063	middle phalanx of left index finger
FMA23940	BP8456	middle phalanx of left middle finger
FMA23942	BP8611	middle phalanx of left ring finger
FMA23944	BP8595	middle phalanx of left little finger
FMA23945	BP8437	distal phalanx of thumb
FMA23946	BP8296	distal phalanx of index finger
FMA23947	BP8484	distal phalanx of middle finger
FMA23948	BP7962	distal phalanx of ring finger
FMA23949	BP8638	distal phalanx of little finger
FMA23951	BP9118	distal phalanx of left thumb
FMA23953	BP8295	distal phalanx of left index finger
FMA23955	BP8844	distal phalanx of left middle finger
FMA23957	BP9065	distal phalanx of left ring finger
FMA23959	BP8799	distal phalanx of left little finger
FMA24034	BP8680	cavity of organ part
FMA24218	BP7966	subdivision of head
FMA24435	BP8724	right scaphoid
FMA24436	BP8122	left scaphoid
FMA24437	BP9284	right lunate
FMA24438	BP8493	left lunate
FMA24439	BP8307	right triquetral
FMA24440	BP8583	left triquetral
FMA24441	BP8770	right pisiform
FMA24442	BP8957	left pisiform
FMA24443	BP8566	right trapezium
FMA24444	BP9024	left trapezium
FMA24445	BP9272	left trapezoid
FMA24446	BP8528	right capitate
FMA24447	BP7959	left capitate
FMA24448	BP9266	right hamate
FMA24449	BP8883	left hamate
FMA24450	BP8017	proximal phalanx of right thumb
FMA24451	BP8914	proximal phalanx of right index finger
FMA24452	BP9025	proximal phalanx of right middle finger
FMA24453	BP8330	proximal phalanx of right ring finger
FMA24454	BP8100	proximal phalanx of right little finger
FMA24455	BP8523	middle phalanx of right index finger
FMA24456	BP9150	middle phalanx of right middle finger
FMA24457	BP8451	middle phalanx of right ring finger
FMA24458	BP8491	middle phalanx of right little finger
FMA24459	BP8436	distal phalanx of right thumb
FMA24460	BP8939	distal phalanx of right index finger
FMA24461	BP8483	distal phalanx of right middle finger
FMA24462	BP7961	distal phalanx of right ring finger
FMA24463	BP8637	distal phalanx of right little finger
FMA24464	BP8547	right first metacarpal bone
FMA24465	BP8887	left first metacarpal bone
FMA24466	BP8219	right second metacarpal bone
FMA24467	BP8909	left second metacarpal bone
FMA24468	BP8629	right third metacarpal bone
FMA24469	BP8863	left third metacarpal bone
FMA24470	BP8444	right fourth metacarpal bone
FMA24471	BP9203	left fourth metacarpal bone
FMA24472	BP8925	right fifth metacarpal bone
FMA24473	BP8000	left fifth metacarpal bone
FMA24474	BP8920	right femur
FMA24475	BP9042	left femur
FMA24476	BP8032	tibia
FMA24477	BP8031	right tibia
FMA24478	BP9202	left tibia
FMA24479	BP8010	fibula
FMA24480	BP8009	right fibula
FMA24481	BP8251	left fibula
FMA24482	BP8033	right talus
FMA24483	BP9187	left talus
FMA24485	BP8379	patella
FMA24486	BP8390	right patella
FMA24487	BP8378	left patella
FMA24491	BP8035	tarsal bone
FMA24492	BP7914	metatarsal bone
FMA24493	BP7751	phalanx of toe
FMA24496	BP8534	calcaneus
FMA24497	BP9040	right calcaneus
FMA24498	BP8533	left calcaneus
FMA24499	BP8600	navicular bone of foot
FMA24500	BP9133	navicular bone of right foot
FMA24501	BP8599	navicular bone of left foot
FMA24502	BP8161	first metatarsal bone
FMA24503	BP8628	second metatarsal bone
FMA24504	BP8803	third metatarsal bone
FMA24505	BP8512	fourth metatarsal bone
FMA24506	BP7913	fifth metatarsal bone
FMA24507	BP8230	right first metatarsal bone
FMA24508	BP8160	left first metatarsal bone
FMA24509	BP8627	right second metatarsal bone
FMA24510	BP8915	left second metatarsal bone
FMA24511	BP8802	right third metatarsal bone
FMA24512	BP8967	left third metatarsal bone
FMA24513	BP9130	right fourth metatarsal bone
FMA24514	BP8511	left fourth metatarsal bone
FMA24515	BP7912	right fifth metatarsal bone
FMA24516	BP9237	left fifth metatarsal bone
FMA24517	BP8349	cuneiform bone
FMA24518	BP8775	medial cuneiform bone
FMA24519	BP8521	intermediate cuneiform bone
FMA24520	BP8348	lateral cuneiform bone
FMA24521	BP8830	right medial cuneiform bone
FMA24522	BP8774	left medial cuneiform bone
FMA24523	BP9110	right intermediate cuneiform bone
FMA24524	BP8520	left intermediate cuneiform bone
FMA24525	BP8730	right lateral cuneiform bone
FMA24526	BP8347	left lateral cuneiform bone
FMA24527	BP8539	cuboid bone
FMA24528	BP8873	right cuboid bone
FMA24529	BP8538	left cuboid bone
FMA24551	BP8138	trunk of intrapulmonary vein
FMA25058	BP9151	intervertebral disk of axis
FMA25624	BP8291	skeletal ligament
FMA25625	BP8167	nonskeletal ligament
FMA30313	BP8224	arterial trunk
FMA30314	BP8140	venous trunk
FMA30320	BP8143	duct
FMA31739	BP7923	segment of bronchial tree
FMA32514	BP8375	prevertebral muscle
FMA32515	BP8026	postvertebral muscle
FMA32516	BP8588	extrinsic muscle of shoulder
FMA32518	BP8587	deep extrinsic muscle of shoulder
FMA32519	BP8747	levator scapulae
FMA32520	BP8216	intrinsic muscle of shoulder
FMA32525	BP4735	rectus capitis posterior major
FMA32526	BP4733	rectus capitis posterior minor
FMA32527	BP4737	obliquus capitis superior
FMA32528	BP4739	obliquus capitis inferior
FMA32529	BP8254	zone of trapezius
FMA32530	BP4736	right rectus capitis posterior major
FMA32531	BP7587	left rectus capitis posterior major
FMA32532	BP4734	right rectus capitis posterior minor
FMA32533	BP7588	left rectus capitis posterior minor
FMA32534	BP4738	right obliquus capitis superior
FMA32535	BP7584	left obliquus capitis superior
FMA32536	BP4740	right obliquus capitis inferior
FMA32537	BP7583	left obliquus capitis inferior
FMA32540	BP4786	right levator scapulae
FMA32541	BP8746	left levator scapulae
FMA32544	BP4791	right supraspinatus
FMA32545	BP8376	left supraspinatus
FMA32546	BP8966	infraspinatus
FMA32547	BP4797	right infraspinatus muscle
FMA32548	BP8965	left infraspinatus muscle
FMA32549	BP8288	teres major
FMA32550	BP9198	teres minor
FMA32551	BP4789	right teres major
FMA32552	BP8287	left teres major
FMA32553	BP4793	right teres minor
FMA32554	BP9197	left teres minor
FMA32555	BP8226	ascending part of trapezius
FMA32556	BP8253	transverse part of trapezius
FMA32557	BP8268	descending part of trapezius
FMA32558	BP8040	musculature
FMA32559	BP8025	superficial postvertebral muscle
FMA32560	BP8319	intermediate postvertebral muscle
FMA32561	BP8400	deep postvertebral muscle
FMA32582	BP4732	posterior suboccipital muscle
FMA32618	BP9089	proximal phalanx of second toe
FMA32619	BP8763	proximal phalanx of third toe
FMA32620	BP8282	proximal phalanx of fourth toe
FMA32621	BP8418	proximal phalanx of little toe
FMA32623	BP7874	middle phalanx of second toe
FMA32624	BP7749	middle phalanx of third toe
FMA32625	BP8577	middle phalanx of fourth toe
FMA32627	BP9248	distal phalanx of big toe
FMA32628	BP8109	distal phalanx of second toe
FMA32629	BP7956	distal phalanx of third toe
FMA32630	BP8790	distal phalanx of fourth toe
FMA32631	BP8696	distal phalanx of little toe
FMA32634	BP9196	proximal phalanx of right second toe
FMA32635	BP9088	proximal phalanx of left second toe
FMA32636	BP8762	proximal phalanx of right third toe
FMA32637	BP8837	proximal phalanx of left third toe
FMA32638	BP8281	proximal phalanx of right fourth toe
FMA32639	BP8346	proximal phalanx of left fourth toe
FMA32640	BP8417	proximal phalanx of right little toe
FMA32641	BP8594	proximal phalanx of left little toe
FMA32642	BP8488	middle phalanx of right second toe
FMA32643	BP7873	middle phalanx of left second toe
FMA32644	BP9047	middle phalanx of right third toe
FMA32645	BP7748	middle phalanx of left third toe
FMA32646	BP8576	middle phalanx of right fourth toe
FMA32647	BP9004	middle phalanx of left fourth toe
FMA32650	BP9282	distal phalanx of right big toe
FMA32651	BP9247	distal phalanx of left big toe
FMA32652	BP8472	distal phalanx of right second toe
FMA32653	BP8108	distal phalanx of left second toe
FMA32654	BP9005	distal phalanx of right third toe
FMA32655	BP7955	distal phalanx of left third toe
FMA32656	BP9261	distal phalanx of right fourth toe
FMA32657	BP8789	distal phalanx of left fourth toe
FMA32658	BP8695	distal phalanx of right little toe
FMA32659	BP8818	distal phalanx of left little toe
FMA32672	BP8274	sesamoid bone
FMA32884	BP8655	phalanx of big toe
FMA32899	BP7875	phalanx of second toe
FMA32900	BP7750	phalanx of third toe
FMA32901	BP8283	phalanx of fourth toe
FMA32902	BP8419	phalanx of little toe
FMA33302	BP8124	proximal carpal bone
FMA33303	BP7882	distal carpal bone
FMA33531	BP8217	muscle of shoulder
FMA33581	BP5638	ascending part of right trapezius
FMA33583	BP8225	ascending part of left trapezius
FMA33584	BP5610	transverse part of right trapezius
FMA33585	BP8252	transverse part of left trapezius
FMA33586	BP5636	descending part of right trapezius
FMA33587	BP8267	descending part of left trapezius
FMA34676	BP8153	zone of deltoid
FMA34677	BP8260	clavicular part of deltoid
FMA34678	BP9076	acromial part of deltoid
FMA34679	BP8152	spinal part of deltoid
FMA34680	BP7573	clavicular part of right deltoid
FMA34681	BP8259	clavicular part of left deltoid
FMA34682	BP7571	acromial part of right deltoid
FMA34683	BP9075	acromial part of left deltoid
FMA34684	BP5607	spinal part of right deltoid
FMA34685	BP8151	spinal part of left deltoid
FMA34686	BP7864	zone of pectoralis major
FMA34687	BP9096	clavicular part of pectoralis major
FMA34690	BP5582	clavicular part of right pectoralis major
FMA34691	BP9095	clavicular part of left pectoralis major
FMA34696	BP8324	sternocostal part of pectoralis major
FMA34699	BP7863	abdominal part of pectoralis major
FMA35187	BP8482	interosseous membrane of leg
FMA35192	BP4649	interosseous membrane of right leg
FMA35193	BP8481	interosseous membrane of left leg
FMA35477	BP7899	phalanx of thumb
FMA35480	BP8297	phalanx of index finger
FMA35483	BP8458	phalanx of middle finger
